year,revenue_max,revenue_min,revenue_moyen
2000,546388105,28,77562765.59375
2001,871368364,60,83164350.53246753
2002,926287400,921,79230362.38202247
2003,1118888979,8500,99646588.83695652
2004,783766341,21,80345075.91397849
2005,850000000,27,72257327.59550563
2006,1065659812,2,77724472.36633663
2007,961000000,6,78810061.25490196
2008,1004558444,10,96462509.76106195
2009,2923706026,10,90368398.45454545
2010,825532764,200,67158997.6231884
2011,1123794079,11229,89661124.592
2012,1518815515,5,79748516.28965518
2013,1215577205,12,90228882.34810127
2014,1104054072,1,113838808.66891892
2015,2068223624,5000,115020936.1716418
2016,1153337496,109,87635866.18181819
2017,1332698830,9,119648629.88271604
2018,2046239637,24,127481075.1971831
2019,2794731755,1000,99256634.41791044
2020,503063688,46855,43344373.505494505
2021,1921847111,10,82358712.88288288
2022,2319331580,1000,137594877.15957448
2023,604380922,159959,131452858.4
